transaction_id,customer_id,timestamp,amount,currency,device_id,is_fraud,tx_date,tx_hour,tx_dayofweek,tx_is_weekend,amount_log,cust_day_txn_count,cust_day_total_amount,cust_total_txn_count,cust_avg_amount,country__CN,country__DE,country__GB,country__IN,country__MX,country__US,merchant_category__CLOTHING,merchant_category__CRYPTO_EXCHANGE,merchant_category__ELECTRONICS,merchant_category__GAMBLING,merchant_category__GROCERIES,merchant_category__ONLINE_SUBSCRIPTION,merchant_category__RESTAURANT,merchant_category__TRAVEL,merchant_category__UTILITY_BILL,channel__MOBILE,channel__ONLINE,channel__POS,model_anomaly_score,model_anomaly_flag
T0002021,C00001,2025-09-15 18:12:07.227951,38.27,USD,D0357,0,2025-09-15,18,0,0,3.6704608685899185,1,38.27,22,57.07409090909091,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.0344834163681329,0
T0009826,C00001,2025-09-17 01:44:42.227951,118.69,USD,D0024,0,2025-09-17,1,2,0,4.784905066885279,1,118.69,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,-0.05345136228363728,0
T0013181,C00001,2025-09-18 04:54:56.227951,18.6,USD,D0352,0,2025-09-18,4,3,0,2.975529566236472,1,18.6,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,-0.12674141981873416,0
T0003352,C00001,2025-09-28 02:41:22.227951,16.18,USD,D0321,0,2025-09-28,2,6,1,2.8437459165561094,2,466.98,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.003762014641725653,0
T0005645,C00001,2025-09-28 06:18:48.227951,450.8,USD,D0255,1,2025-09-28,6,6,1,6.113239604033903,2,466.98,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.006434538333456086,1
T0012489,C00001,2025-10-09 14:35:44.227951,53.25,USD,D0308,0,2025-10-09,14,3,0,3.993602992420569,1,53.25,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,-0.07078940344686202,0
T0006614,C00001,2025-10-12 18:07:46.227951,2.72,USD,D0239,0,2025-10-12,18,6,1,1.3137236682850553,1,2.72,22,57.07409090909091,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,-0.008783406507075653,0
T0006315,C00001,2025-10-13 16:58:44.227951,77.13,USD,D0068,1,2025-10-13,16,0,0,4.358374106008653,1,77.13,22,57.07409090909091,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-0.001993001274258832,0
T0000506,C00001,2025-10-15 09:21:33.227951,79.66,USD,D0150,0,2025-10-15,9,2,0,4.390242789445222,1,79.66,22,57.07409090909091,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,-0.03412876008022936,0
T0004102,C00001,2025-10-20 14:52:46.227951,55.82,USD,D0273,0,2025-10-20,14,0,0,4.039888376426042,1,55.82,22,57.07409090909091,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,-0.05731995439173848,0
